evolucion_del_pib_de_españa;;
Año;Periodo;Producto Interior Bruto (PIB)
2002;Trimestre 1;182753
2002;Trimestre 2;186170
2002;Trimestre 3;188931
2002;Trimestre 4;191698
2003;Trimestre 1;209190
2003;Trimestre 2;212367
2003;Trimestre 3;216525
2003;Trimestre 4;221355
2004;Trimestre 1;209190
2004;Trimestre 2;212367
2004;Trimestre 3;216525
2004;Trimestre 4;221355
2005;Trimestre 1;224814
2005;Trimestre 2;229433
2005;Trimestre 3;233904
2005;Trimestre 4;239206
2006;Trimestre 1;243627
2006;Trimestre 2;249021
2006;Trimestre 3;253409
2006;Trimestre 4;257766
2007;Trimestre 1;263773
2007;Trimestre 2;267333
2007;Trimestre 3;269354
2007;Trimestre 4;275079
2008;Trimestre 1;277657
2008;Trimestre 2;278983
2008;Trimestre 3;277456
2008;Trimestre 4;275445
2009;Trimestre 1;269199
2009;Trimestre 2;267165
2009;Trimestre 3;266711
2009;Trimestre 4;266248
2010;Trimestre 1;268031
2010;Trimestre 2;267355
2010;Trimestre 3;267959
2010;Trimestre 4;269364
2011;Trimestre 1;267991
2011;Trimestre 2;267784
2011;Trimestre 3;265547
2011;Trimestre 4;262441
2012;Trimestre 1;261538
2012;Trimestre 2;258877
2012;Trimestre 3;257492
2012;Trimestre 4;253192
2013;Trimestre 1;255914
2013;Trimestre 2;255183
2013;Trimestre 3;254815
2013;Trimestre 4;254436
2014;Trimestre 1;256308
2014;Trimestre 2;256980
2014;Trimestre 3;258252
2014;Trimestre 4;260618
2015;Trimestre 1;265848
2015;Trimestre 2;268181
2015;Trimestre 3;270633
2015;Trimestre 4;272928
2016;Trimestre 1;275039
2016;Trimestre 2;276760
2016;Trimestre 3;280145
2016;Trimestre 4;281896
2017;Trimestre 1;285723
2017;Trimestre 2;289461
2017;Trimestre 3;291234
2017;Trimestre 4;295449
2018;Trimestre 1;296217
2018;Trimestre 2;299384
2018;Trimestre 3;301953
2018;Trimestre 4;305705
2019;Trimestre 1;307704
2019;Trimestre 2;309942
2019;Trimestre 3;311706
2019;Trimestre 4;315023
2020;Trimestre 1;296636
2020;Trimestre 2;245851
2020;Trimestre 3;289165
2020;Trimestre 4;290296
2021;Trimestre 1;287549
2021;Trimestre 2;292059
2021;Trimestre 3;301432
;;
;;
"Métrica:""Producto Interior Bruto (PIB)""";;
"Fuente:""INE""";;
"Clasificación:""";;
"Unidad:""Euros (dato corregido de efectos estacionales)""";;
"Escala:""Millones""";;
"EscalaFactorPotencia10:""6""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/evolucion-pib-espana/82f23644-8ccd-4682-9470-72f46fbe8d5e/espana/106""";;
"Titulo:""Evolución del PIB de España""";;
"Subtitulo:""(Dato corregido de efectos estacionales)""";;
