"NOMBRE DE LA SERIE",D_1KH99500_D09,D_1KH99100_D09,D_1KH99110_D09,D_1KH99200_D09,D_1KH99300_D09,DCMICN2015INDVO_ETOT.M,DCMICN2015INDVO_EGXE.M,DCMICN2015INDVO_EGXE_D09G472.M,DCMICN2015INDVO_EGRS.M,DCMICN2015INDVO_EGRC.M,DCMICN2015INDVO_EPQC.M,DCMICN2015INDVO_EUNI.M,D_1PM11000,D_1PM11200,D_1PM11100,D_1PM21000,D_1PM21200,D_1PM21100
"NÚMERO SECUENCIAL",1832510,1832506,1832507,1832508,1832509,3273004,3272964,3272984,3272959,3272956,3273001,3273026,253645,253647,253646,253657,253659,253658
"ALIAS DE LA SERIE","BE_23_14.1","BE_23_14.2","BE_23_14.3","BE_23_14.4","BE_23_14.5","BE_23_14.6","BE_23_14.7","BE_23_14.8","BE_23_14.9","BE_23_14.10","BE_23_14.11","BE_23_14.12","BE_23_14.13","BE_23_14.14","BE_23_14.15","BE_23_14.16","BE_23_14.17","BE_23_14.18"
"DESCRIPCIÓN DE LA SERIE","Estadísticas generales. Encuesta de comercio minorista. Índice de confianza","Estadísticas generales. Encuesta de comercio minorista. Situacón de negocio. Actualmente","Estadísticas generales. Encuesta de comercio minorista. Situacón de negocio. Expectativas","Estadísticas generales. Encuesta de comercio minorista. Intención de pedidos","Estadísticas generales. Encuesta de comercio minorista. Nivel de existencias","Estadísticas generales. Índice de Comercio al por Menor. Índice general","Estadísticas generales. Índice de Comercio al por Menor. General sin estaciones de servicio. Del cual. Total","Estadísticas generales. Índice de Comercio al por Menor. General sin estaciones de servicio. Del cual. Alimentación","Estadísticas generales. Índice de Comercio al por Menor. General sin estaciones de servicio. Grandes superficies","Estadísticas generales. Índice de Comercio al por Menor. General sin estaciones de servicio. Grandes cadenas","Estadísticas generales. Índice de Comercio al por Menor. General sin estaciones de servicio. Pequeñas cadenas","Estadísticas generales. Índice de Comercio al por Menor. General sin estaciones de servicio. Empresas unilocalizadas","Estadísticas generales. Encuesta de ocupación hotelera. Viajeros alojados en hoteles","Estadísticas generales. Encuesta de ocupación hotelera. Extranjeros alojados en hoteles","Estadísticas generales. Encuesta de ocupación hotelera. Residentes alojados en hoteles","Estadísticas generales. Encuesta de ocupación hotelera. Pernoctaciones efectuadas en hoteles","Estadísticas generales. Encuesta de ocupación hotelera. Pernoctaciones de extranjeros en hoteles","Estadísticas generales. Encuesta de ocupación hotelera. Pernoctaciones de residentes en hoteles"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje neto","Porcentaje neto","Porcentaje neto","Porcentaje neto","Porcentaje neto","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Personas","Personas","Personas","Pernoctaciones","Pernoctaciones","Pernoctaciones"
"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"ABR 1965","_","_","_","_","_","_","_","_","_","_","_","_",888400,442600,445800,3237900,1787000,1450900
"MAY 1965","_","_","_","_","_","_","_","_","_","_","_","_",966100,507000,459100,3865000,2303200,1561800
"JUN 1965","_","_","_","_","_","_","_","_","_","_","_","_",1074100,607200,466900,4785000,3210900,1574100
"JUL 1965","_","_","_","_","_","_","_","_","_","_","_","_",1326300,821700,504600,6256200,4325300,1930900
"AGO 1965","_","_","_","_","_","_","_","_","_","_","_","_",1545800,988600,557200,7422900,5096700,2326200
"SEP 1965","_","_","_","_","_","_","_","_","_","_","_","_",1350500,798800,551700,5869100,4024500,1844600
"OCT 1965","_","_","_","_","_","_","_","_","_","_","_","_",945400,435600,509800,3605100,1990300,1614800
"NOV 1965","_","_","_","_","_","_","_","_","_","_","_","_",609500,201000,408500,2300800,930200,1370600
"DIC 1965","_","_","_","_","_","_","_","_","_","_","_","_",511900,167900,344000,1986200,797800,1188400
"ENE 1966","_","_","_","_","_","_","_","_","_","_","_","_",523200,178100,345100,2093200,872200,1221000
"FEB 1966","_","_","_","_","_","_","_","_","_","_","_","_",533300,174600,358700,2166600,915300,1251300
"MAR 1966","_","_","_","_","_","_","_","_","_","_","_","_",703600,258500,445100,2689500,1250500,1439000
"ABR 1966","_","_","_","_","_","_","_","_","_","_","_","_",977100,465400,511500,3543300,1976100,1567200
"MAY 1966","_","_","_","_","_","_","_","_","_","_","_","_",1018200,536100,482100,4116400,2591000,1525400
"JUN 1966","_","_","_","_","_","_","_","_","_","_","_","_",1125300,649500,475800,5065200,3537400,1527800
"JUL 1966","_","_","_","_","_","_","_","_","_","_","_","_",1444100,889100,555000,6652500,4691500,1961000
"AGO 1966","_","_","_","_","_","_","_","_","_","_","_","_",1605600,1021800,583800,7703600,5396300,2307300
"SEP 1966","_","_","_","_","_","_","_","_","_","_","_","_",1364400,803800,560600,5931700,4152900,1805800
"OCT 1966","_","_","_","_","_","_","_","_","_","_","_","_",966300,450100,516200,3612100,2021600,1590500
"NOV 1966","_","_","_","_","_","_","_","_","_","_","_","_",627000,209800,417200,2336100,988100,1348000
"DIC 1966","_","_","_","_","_","_","_","_","_","_","_","_",549000,183700,365300,2081200,870200,1211000
"ENE 1967","_","_","_","_","_","_","_","_","_","_","_","_",588600,196300,392300,2267900,1006500,1261400
"FEB 1967","_","_","_","_","_","_","_","_","_","_","_","_",575500,192300,383200,2304000,1045900,1258100
"MAR 1967","_","_","_","_","_","_","_","_","_","_","_","_",864500,327900,536600,3127700,1502900,1624800
"ABR 1967","_","_","_","_","_","_","_","_","_","_","_","_",902400,401000,501400,3288700,1776800,1511900
"MAY 1967","_","_","_","_","_","_","_","_","_","_","_","_",1111200,576900,534300,4561800,2925300,1636500
